kind,league,slot,league_rank,name,url
team,Serie A,19,10,"Cremonese",https://4590football.com/livescore/football/team/520/cremonese
team,Ligue 1,19,10,"Rennes",https://4590football.com/livescore/football/team/94/rennes
player,Premier League,20,10,"K. Casey",https://4590football.com/livescore/football/player/288116/k-casey
player,La Liga,20,10,"L. Kourouma",https://4590football.com/livescore/football/player/551459/l-kourouma
player,Bundesliga,20,10,"G. Della Rovere",https://4590football.com/livescore/football/player/568043/g-della-rovere
player,Serie A,20,10,"Kike Pérez",https://4590football.com/livescore/football/player/107153/kike-perez
player,Ligue 1,20,10,"Bernard Geraux Noan Didier",https://4590football.com/livescore/football/player/629780/bernard-geraux-noan-didier
team,Premier League,21,11,"Newcastle",https://4590football.com/livescore/football/team/34/newcastle
team,La Liga,21,11,"Getafe",https://4590football.com/livescore/football/team/546/getafe
team,Bundesliga,21,11,"1899 Hoffenheim",https://4590football.com/livescore/football/team/167/1899-hoffenheim
team,Serie A,21,11,"Cagliari",https://4590football.com/livescore/football/team/490/cagliari
team,Ligue 1,21,11,"Stade Brestois 29",https://4590football.com/livescore/football/team/106/stade-brestois-29
player,Premier League,22,11,"A. Harrison",https://4590football.com/livescore/football/player/557523/a-harrison
player,La Liga,22,11,"P. Roson",https://4590football.com/livescore/football/player/610174/p-roson
player,Bundesliga,22,11,"M. Sobottka",https://4590football.com/livescore/football/player/25460/m-sobottka
player,Serie A,22,11,"A. Colpani",https://4590football.com/livescore/football/player/30431/a-colpani
player,Ligue 1,22,11,"I. Halifa",https://4590football.com/livescore/football/player/354839/i-halifa
team,Premier League,23,12,"Brighton",https://4590football.com/livescore/football/team/51/brighton
team,La Liga,23,12,"Osasuna",https://4590football.com/livescore/football/team/727/osasuna
team,Bundesliga,23,12,"Werder Bremen",https://4590football.com/livescore/football/team/162/werder-bremen
team,Serie A,23,12,"Udinese",https://4590football.com/livescore/football/team/494/udinese
team,Ligue 1,23,12,"Nice",https://4590football.com/livescore/football/team/84/nice
player,Premier League,24,12,"A. Abdullahi",https://4590football.com/livescore/football/player/388461/a-abdullahi
player,La Liga,24,12,"M. Roman",https://4590football.com/livescore/football/player/626805/m-roman
player,Bundesliga,24,12,"M. Zrilic",https://4590football.com/livescore/football/player/585756/m-zrilic
player,Serie A,24,12,"Kevin Zeroli",https://4590football.com/livescore/football/player/382945/kevin-zeroli
player,Ligue 1,24,12,"R. Hachem",https://4590football.com/livescore/football/player/174743/r-hachem
team,Premier League,25,13,"Aston Villa",https://4590football.com/livescore/football/team/66/aston-villa
team,La Liga,25,13,"Levante",https://4590football.com/livescore/football/team/539/levante
team,Bundesliga,25,13,"Union Berlin",https://4590football.com/livescore/football/team/182/union-berlin
team,Serie A,25,13,"Lazio",https://4590football.com/livescore/football/team/487/lazio
team,Ligue 1,25,13,"Lorient",https://4590football.com/livescore/football/team/97/lorient
player,Premier League,26,13,"A. Adli",https://4590football.com/livescore/football/player/129682/a-adli
player,La Liga,26,13,"Brain Chinedu",https://4590football.com/livescore/football/player/586418/brain-chinedu
player,Bundesliga,26,13,"Mussa Kaba",https://4590football.com/livescore/football/player/592218/mussa-kaba
player,Serie A,26,13,"R. Kouda",https://4590football.com/livescore/football/player/386393/r-kouda
player,Ligue 1,26,13,"N. Pallois",https://4590football.com/livescore/football/player/21088/n-pallois
team,Premier League,27,14,"Fulham",https://4590football.com/livescore/football/team/36/fulham
team,La Liga,27,14,"Rayo Vallecano",https://4590football.com/livescore/football/team/728/rayo-vallecano
team,Bundesliga,27,14,"FC Augsburg",https://4590football.com/livescore/football/team/170/fc-augsburg
team,Serie A,27,14,"Parma",https://4590football.com/livescore/football/team/523/parma
team,Ligue 1,27,14,"Le Havre",https://4590football.com/livescore/football/team/111/le-havre
player,Premier League,28,14,"A. Annous",https://4590football.com/livescore/football/player/457731/a-annous
player,La Liga,28,14,"Nicolás González",https://4590football.com/livescore/football/player/483121/nicolas-gonzalez
player,Bundesliga,28,14,"E. Dittrich",https://4590football.com/livescore/football/player/585660/e-dittrich
player,Serie A,28,14,"G. Mulazzi",https://4590football.com/livescore/football/player/585519/g-mulazzi
player,Ligue 1,28,14,"A. Pelon",https://4590football.com/livescore/football/player/327703/a-pelon
team,Premier League,29,15,"Leeds",https://4590football.com/livescore/football/team/63/leeds
team,La Liga,29,15,"Valencia",https://4590football.com/livescore/football/team/532/valencia
team,Bundesliga,29,15,"VfL Wolfsburg",https://4590football.com/livescore/football/team/161/vfl-wolfsburg
team,Serie A,29,15,"Lecce",https://4590football.com/livescore/football/team/867/lecce
team,Ligue 1,29,15,"Nantes",https://4590football.com/livescore/football/team/83/nantes
player,Premier League,30,15,"A. Areola",https://4590football.com/livescore/football/player/253/a-areola
player,La Liga,30,15,"Hugo de Llanos García",https://4590football.com/livescore/football/player/411751/hugo-de-llanos-garcia
player,Bundesliga,30,15,"L. Bénes",https://4590football.com/livescore/football/player/24962/l-benes
player,Serie A,30,15,"F. Stante",https://4590football.com/livescore/football/player/562570/f-stante
player,Ligue 1,30,15,"P. Lemonnier",https://4590football.com/livescore/football/player/24196/p-lemonnier
team,Premier League,31,16,"Brentford",https://4590football.com/livescore/football/team/55/brentford
team,La Liga,31,16,"Celta Vigo",https://4590football.com/livescore/football/team/538/celta-vigo
team,Bundesliga,31,16,"FSV Mainz 05",https://4590football.com/livescore/football/team/164/fsv-mainz-05
team,Serie A,31,16,"Torino",https://4590football.com/livescore/football/team/503/torino
team,Ligue 1,31,16,"Auxerre",https://4590football.com/livescore/football/team/108/auxerre
player,Premier League,32,16,"A. Armstrong",https://4590football.com/livescore/football/player/19484/a-armstrong
player,La Liga,32,16,"Robson",https://4590football.com/livescore/football/player/630908/robson
player,Bundesliga,32,16,"M. Krattenmacher",https://4590football.com/livescore/football/player/342170/m-krattenmacher
player,Serie A,32,16,"D. Tonica",https://4590football.com/livescore/football/player/620067/d-tonica
player,Ligue 1,32,16,"B. Danger",https://4590football.com/livescore/football/player/23964/b-danger
team,Premier League,33,17,"Nottingham Forest",https://4590football.com/livescore/football/team/65/nottingham-forest
team,La Liga,33,17,"Oviedo",https://4590football.com/livescore/football/team/718/oviedo
team,Bundesliga,33,17,"Borussia Mönchengladbach",https://4590football.com/livescore/football/team/163/borussia-monchengladbach
team,Serie A,33,17,"Fiorentina",https://4590football.com/livescore/football/team/502/fiorentina
team,Ligue 1,33,17,"Angers",https://4590football.com/livescore/football/team/77/angers
player,Premier League,34,17,"A. Barnes",https://4590football.com/livescore/football/player/18927/a-barnes
player,La Liga,34,17,"V. Valdepenas",https://4590football.com/livescore/football/player/560901/v-valdepenas
player,Bundesliga,34,17,"N. Horvat",https://4590football.com/livescore/football/player/585710/n-horvat
player,Serie A,34,17,"A. Kumer Celik",https://4590football.com/livescore/football/player/570213/a-kumer-celik
player,Ligue 1,34,17,"K. Prouchet",https://4590football.com/livescore/football/player/613217/k-prouchet
team,Premier League,35,18,"Burnley",https://4590football.com/livescore/football/team/44/burnley
team,La Liga,35,18,"Girona",https://4590football.com/livescore/football/team/547/girona
team,Bundesliga,35,18,"1. FC Heidenheim",https://4590football.com/livescore/football/team/180/1-fc-heidenheim
team,Serie A,35,18,"Verona",https://4590football.com/livescore/football/team/504/verona
team,Ligue 1,35,18,"Metz",https://4590football.com/livescore/football/team/112/metz
player,Premier League,36,18,"A. Bayındır",https://4590football.com/livescore/football/player/50132/a-bayndr
player,La Liga,36,18,"P. Meixus",https://4590football.com/livescore/football/player/561063/p-meixus
player,Bundesliga,36,18,"M. Pejazic",https://4590football.com/livescore/football/player/358103/m-pejazic
player,Serie A,36,18,"C. De Paoli",https://4590football.com/livescore/football/player/585447/c-de-paoli
player,Ligue 1,36,18,"I. Cossier",https://4590football.com/livescore/football/player/486136/i-cossier
team,Premier League,37,19,"West Ham",https://4590football.com/livescore/football/team/48/west-ham
team,La Liga,37,19,"Real Sociedad",https://4590football.com/livescore/football/team/548/real-sociedad
team,Bundesliga,37,19,"Holstein Kiel",https://4590football.com/livescore/football/team/191/holstein-kiel
team,Serie A,37,19,"Genoa",https://4590football.com/livescore/football/team/495/genoa
team,Ligue 1,37,19,"Montpellier",https://4590football.com/livescore/football/team/82/montpellier
